坐标,强度值
6.35677,232113000.0
6.36597,465014000.0
6.37516,342325000.0
6.38435,235513000.0
6.39354,429389000.0
6.40274,77275100.0
6.41193,85145600.0
6.42112,437394000.0
6.43031,178639000.0
6.43951,-202741000.0
6.4487,-72629200.0
6.45789,-120266000.0
6.46708,168897000.0
6.47628,-474134000.0
6.48547,-183939000.0
6.49466,-446982000.0
6.50385,-104053000.0
6.51305,368433000.0
6.52224,224413000.0
6.53143,184135000.0
6.54062,369025000.0
6.54982,63815700.0
6.55901,97538000.0
6.5682,282703000.0
6.57739,227981000.0
6.58659,-255524000.0
6.59578,-12839900.0
6.60497,-10191900.0
6.61416,-112673000.0
6.62336,-145946000.0
6.63255,201798000.0
6.64174,-193936000.0
6.65093,54261800.0
6.66012,97996800.0
6.66932,-22430700.0
6.67851,-361791000.0
6.6877,-239907000.0
6.69689,98539500.0
6.70609,150543000.0
6.71528,-158099000.0
6.72447,-222292000.0
6.73366,307083000.0
6.74286,-360954000.0
6.75205,-53100500.0
6.76124,318037000.0
6.77043,-106912000.0
6.77963,161799000.0
6.78882,70316000.0
6.79801,-162268000.0
6.8072,-330876000.0
6.8164,-175004000.0
6.82559,-5473280.0
6.83478,121083000.0
6.84397,-167124000.0
6.85317,-7148540.0
6.86236,-622689000.0
6.87155,-130383000.0
6.88074,-3087360.0
6.88994,252497000.0
6.89913,353807000.0
6.90832,565693000.0
6.91751,470993000.0
6.92671,140993000.0
6.9359,43551700.0
6.94509,123906000.0
6.95428,-51168300.0
6.96347,164999000.0
6.97267,212285000.0
6.98186,-31903700.0
6.99105,-197685000.0
7.00024,-195580000.0
7.00944,27806700.0
7.01863,231837000.0
7.02782,339835000.0
7.03701,75829200.0
7.04621,-210132000.0
7.0554,109901000.0
7.06459,22702100.0
7.07378,17884200.0
7.08298,1713150.0
7.09217,76526600.0
7.10136,-273332000.0
7.11055,-75934700.0
7.11975,-123632000.0
7.12894,-103694000.0
7.13813,56378400.0
7.14732,338524000.0
7.15652,-91042800.0
7.16571,56803300.0
7.1749,353886000.0
7.18409,447957000.0
7.19329,312682000.0
7.20248,174033000.0
7.21167,373563000.0
7.22086,18683900.0
7.23006,-9450500.0
7.23925,217303000.0
7.24844,214060000.0
7.25763,641879000.0
7.26682,386085000.0
7.27602,315392.0
7.28521,556025000.0
7.2944,-52145200.0
7.30359,-191242000.0
7.31279,-50094100.0
7.32198,-205126000.0
7.33117,-25326600.0
7.34036,18262000.0
7.34956,-33303600.0
7.35875,33081300.0
7.36794,-118755000.0
7.37713,-12109800.0
7.38633,-62369800.0
7.39552,-107352000.0
7.40471,72862700.0
7.4139,-129443000.0
7.4231,-15749100.0
7.43229,257342000.0
7.44148,-75812900.0
7.45067,151733000.0
7.45987,-230849000.0
7.46906,-131393000.0
7.47825,407580000.0
7.48744,461182000.0
7.49664,89367600.0
7.50583,-20149200.0
7.51502,14377000.0
7.52421,-319079000.0
7.53341,-322836000.0
7.5426,189715000.0
7.55179,291660000.0
